land_parcel,action1,action2,action3,available_area
SD5148-4373,CMOR1,UPL1,UPL10,1.9177
SD8344-4425,CMOR1,UPL1,UPL8,38.0864
SD8663-4555,CMOR1,UPL2,UPL10,44.9041
SD5947-4625,CMOR1,UPL3,UPL8,27.1171
SD7967-4758,CMOR1,UPL1,UPL8,21.9732
SD5965-4825,CMOR1,UPL2,UPL10,9.4421
SD7447-4904,CMOR1,UPL3,UPL8,5.0709
SD6862-5040,CMOR1,UPL1,UPL10,12.6442
SD6150-5078,CMOR1,UPL1,UPL8,2.892
SD5846-5185,CMOR1,UPL2,UPL10,1.5925
SD6163-5222,CMOR1,UPL3,UPL8,12.6114
SD6666-5287,CMOR1,UPL1,UPL10,55.2466
SD8460-5358,CMOR1,UPL1,UPL8,2.4534
SD8052-5479,CMOR1,UPL2,UPL10,2.8821
SD8464-5540,CMOR1,UPL3,UPL8,15.0245
SD8662-5583,CMOR1,UPL1,UPL8,17.7807
SD7347-5652,CMOR1,UPL2,UPL10,2.0334
SD8444-5726,CMOR1,UPL3,UPL8,9.8268
SD8243-5822,CMOR1,UPL1,UPL10,3.3901
SD6246-5854,CMOR1,UPL1,UPL8,13.9138
SD7967-5898,CMOR1,UPL2,UPL10,7.9252
SD8545-5973,CMOR1,UPL3,UPL8,1.4281
SD5949-6060,CMOR1,UPL1,UPL10,2.7387
SD6450-6152,CMOR1,UPL1,UPL8,3.5492
SD6964-6234,CMOR1,UPL2,UPL10,4.2954
SD8365-6381,CMOR1,UPL3,UPL8,7.6393
SD7258-6497,CMOR1,UPL1,UPL8,6.6345
SD8460-6537,CMOR1,UPL2,UPL10,2.2142
SD6353-6608,CMOR1,UPL3,UPL8,0.2006
SD5560-6680,CMOR1,UPL1,UPL10,14.3923
SD7562-6786,CMOR1,UPL1,UPL8,1.87
SD8644-6818,CMOR1,UPL2,UPL10,8.1773
SD6962-6884,CMOR1,UPL3,UPL8,1.5248
SD6165-7025,CMOR1,UPL1,UPL10,13.3246
SD7146-7178,CMOR1,UPL1,UPL8,12.34
SD8052-7236,CMOR1,UPL2,UPL10,3.1766
SD7359-7274,CMOR1,UPL3,UPL8,14.5695
SD7347-7332,CMOR1,UPL1,UPL8,3.6654
SD6866-7423,CMOR1,UPL2,UPL10,468.2825
SD7057-7514,CMOR1,UPL3,UPL8,0.0321
SD6863-7596,CMOR1,UPL1,UPL10,3.5939
SD5260-7636,CMOR1,UPL1,UPL8,1.3531
SD6855-7704,CMOR1,UPL2,UPL10,24.6324
SD8343-7784,CMOR1,UPL3,UPL8,26.0368
SD8544-7950,CMOR1,UPL1,UPL10,9.7224
SD7447-8036,CMOR1,UPL1,UPL8,1.8905
SD6859-8122,CMOR1,UPL2,UPL10,3.6276
SD6348-8248,CMOR1,UPL3,UPL8,5.0675
SD5659-8377,CMOR1,UPL1,UPL8,7.3576
SD8052-8446,CMOR1,UPL2,UPL10,2.4213
SD7350-8502,CMOR1,UPL3,UPL8,14.1178
SD6649-8555,CMOR1,UPL1,UPL10,13.0355
SD7059-8651,CMOR1,UPL1,UPL8,0.1152
SD8142-8717,CMOR1,UPL2,UPL10,17.7351
SD8462-8789,CMOR1,UPL3,UPL8,24.4267
SD7267-8823,CMOR1,UPL1,UPL10,9.3558
SD8042-8977,CMOR1,UPL1,UPL8,10.0548
SD6362-9049,CMOR1,UPL2,UPL10,38.9762
SD8558-9150,CMOR1,UPL3,UPL8,38.0581
SD7560-9193,CMOR1,UPL1,UPL8,25.3873
